event_time,mean,count,std
-3,65343036.59469388,49,102117887.33184817
-2,91270871.56735848,53,207563590.16235235
-1,47107599.365287356,87,158475617.08698487
0,66232501.983740464,131,248523210.69229886
1,56320134.69640845,142,153865635.62841976
2,52483359.808375,160,162233177.03991616
3,63066507.29022599,177,174671464.44273
