year,total_strength,top10_share,gini_strength
2017,0,,
2018,4,1.0,0.8076923076923077
2019,10,1.0,0.7894736842105263
2020,16,1.0,0.7608695652173914
2021,22,0.9090909090909091,0.7083333333333333
2022,12,1.0,0.7424242424242424
2023,8,1.0,0.736842105263158
2024,0,,
