year,coname_cn_01,strength,evcent
2022,广东好太太家居用品有限公司,1,0.047619047619047616
2022,广东好太太智能家居有限公司,1,0.047619047619047616
2022,成都千川木业有限公司,1,0.047619047619047616
2022,广州好莱客家居安装服务有限公司,1,0.047619047619047616
2023,广东联泰环保股份有限公司,0,0.0
2023,深圳歌力思服饰股份有限公司,0,0.0
2023,广东原尚物流股份有限公司,0,0.0
2023,欧派家居集团股份有限公司,0,0.0
2023,广东四通集团股份有限公司,0,0.0
2023,广东好太太科技集团股份有限公司,2,0.1111111111111111
2023,广州白云电器设备股份有限公司,0,0.0
2023,广州金域医学检验集团股份有限公司,0,0.0
2023,广州好莱客创意家居股份有限公司,2,0.1111111111111111
2023,广东世运电路科技股份有限公司,0,0.0
2023,博敏电子股份有限公司,0,0.0
2023,深圳市新星轻合金材料股份有限公司,0,0.0
2023,广东丸美生物技术股份有限公司,0,0.0
2023,深圳至正高分子材料股份有限公司,0,0.0
2023,东鹏饮料(集团)股份有限公司,0,0.0
2023,北京创想明天科技有限公司,1,0.05555555555555555
2023,广东好太太家居用品有限公司,1,0.05555555555555555
2023,广州好莱客家居安装服务有限公司,1,0.05555555555555555
2023,"广州好莱客创意家居股份有限公司,广州好莱客集成家居有限公司",1,0.05555555555555555
2024,广东联泰环保股份有限公司,0,0.0
2024,深圳歌力思服饰股份有限公司,0,0.0
2024,广东原尚物流股份有限公司,0,0.0
2024,欧派家居集团股份有限公司,0,0.0
2024,广东好太太科技集团股份有限公司,0,0.0
2024,广州金域医学检验集团股份有限公司,0,0.0
2024,广东世运电路科技股份有限公司,0,0.0
2024,博敏电子股份有限公司,0,0.0
2024,深圳市新星轻合金材料股份有限公司,0,0.0
2024,广东丸美生物技术股份有限公司,0,0.0
2024,深圳至正高分子材料股份有限公司,0,0.0
2024,东鹏饮料(集团)股份有限公司,0,0.0
